seed,ate_true,s1_true,s0_true,ate_naive,s1_naive,s0_naive,bias,reversal
0,0.147817460317461,0.460317460317461,0.3125,-0.0477776165937434,0.419518280495968,0.467295897089711,-0.195595076911204,1
1,0.155188155188155,0.483516483516484,0.328328328328329,-0.00691776161568569,0.448874048654049,0.455791810269734,-0.162105916803841,1
2,0.164334656762295,0.4501953125,0.285860655737705,0.0247721072106656,0.431545780111398,0.406773672900733,-0.139562549551629,0
3,0.17246974342343,0.480908152734778,0.308438409311348,-0.00268763442997966,0.439495093702355,0.442182728132335,-0.17515737785341,1
4,0.117368056312507,0.453360080240722,0.335992023928215,0.000839248534811543,0.425199175325686,0.424359926790874,-0.116528807777695,0
5,0.14545612735024,0.468718967229394,0.323262839879154,-0.00298496220811773,0.43055413084772,0.433539093055838,-0.148441089558358,1
6,0.141727952023892,0.465942744323791,0.324214792299899,0.0138290921022259,0.447374348047957,0.433545255945731,-0.127898859921666,0
7,0.120708345500438,0.452716297786721,0.332007952286282,-0.0200754458680206,0.435972228289217,0.456047674157238,-0.140783791368459,1
8,0.1685584863842,0.490374873353597,0.321816386969398,-0.0255641040759594,0.447317814378025,0.472881918453985,-0.194122590460159,1
9,0.0940000000000001,0.428,0.334,0.025448569729251,0.438421711131274,0.412973141402023,-0.0685514302707491,0
10,0.148809148493884,0.474246841593781,0.325437693099897,0.0549405190744856,0.451699999906514,0.396759480832028,-0.0938686294193982,0
11,0.164843434161494,0.489278752436647,0.324435318275154,-0.000849235690959516,0.422411554405759,0.423260790096718,-0.165692669852453,1
12,0.156,0.474,0.318,0.0340394672182984,0.47129804608919,0.437258578870892,-0.121960532781701,0
13,0.127114304459842,0.44331983805668,0.316205533596838,-0.00836650377651815,0.41927800484796,0.427644508624478,-0.13548080823636,1
14,0.141395654983364,0.4447983014862,0.303402646502836,0.079950915128517,0.459422446424919,0.379471531296402,-0.0614447398548469,0
15,0.155306440062252,0.45956607495069,0.304259634888438,-0.00587466112376234,0.455280178534445,0.461154839658208,-0.161181101186014,1
