seed,ate_true,s1_true,s0_true,ate_naive,s1_naive,s0_naive,bias,reversal,n_treated_obs,n_control_obs
0,0.1889188874758796,0.49335863377609107,0.3044397463002115,0.02224338288169475,0.42942789000873555,0.4071845071270408,-0.16667550459418484,0,1405,595
1,0.12414422272816422,0.4469548133595286,0.32281059063136436,0.02508839362454046,0.4576215415001261,0.43253314787558567,-0.09905582910362376,0,1399,601
2,0.1389999999999999,0.4539999999999996,0.3149999999999997,-0.0690446475787288,0.4089860746609772,0.478030722239706,-0.2080446475787287,1,1447,553
3,0.16671200652894042,0.47035573122529656,0.30364372469635614,-0.029078819234190034,0.4231286515055988,0.45220747073978884,-0.19579082576313045,1,1391,609
4,0.14894206430720885,0.46014127144298694,0.3111992071357781,0.004888114503508234,0.43329617714209034,0.4284080626385821,-0.14405394980370062,0,1416,584
5,0.1301699913668833,0.4553483807654559,0.32517838939857263,-0.033340459491838004,0.43824858655406745,0.47158904604590546,-0.1635104508587213,1,1387,613
6,0.12767038453537272,0.42510121457489886,0.29743083003952614,0.05974577448646595,0.44517949092793413,0.3854337164414682,-0.06792461004890676,0,1439,561
7,0.1869385505648936,0.48167539267015713,0.2947368421052635,-0.045060231556038666,0.4288525707734819,0.47391280232952054,-0.23199878212093228,1,1438,562
8,0.12451049804199232,0.43987975951903807,0.31536926147704575,-0.003924500751011528,0.4401746569322396,0.44409915768325114,-0.12843499879300385,1,1424,576
9,0.12571028411364593,0.4450980392156866,0.31938775510204065,-0.02080472478706652,0.4141484319508265,0.43495315673789303,-0.14651500890071245,1,1434,566
10,0.15625563494003414,0.47984644913627633,0.3235908141962422,0.0477341396175891,0.4559477696562491,0.40821363003866,-0.10852149532244504,0,1428,572
11,0.16799999999999998,0.46199999999999963,0.29399999999999965,0.02657709307669731,0.4255620638537467,0.39898497077704936,-0.14142290692330267,0,1381,619
12,0.1815791082501244,0.49952244508118443,0.31794333683106,0.015399224117727706,0.4712327480873143,0.4558335239695866,-0.1661798841323967,0,1408,592
13,0.13935574229691838,0.47857142857142865,0.33921568627451026,0.033470835445088776,0.43689172292085504,0.40342088747576627,-0.10588490685182961,0,1415,585
14,0.12593495251701792,0.4478527607361961,0.3219178082191782,0.00440205265689797,0.417389913123776,0.412987860466878,-0.12153289986011995,0,1358,642
15,0.15979515979515985,0.4774774774774775,0.31768231768231764,0.06961540268092647,0.46014383886200316,0.3905284361810767,-0.09017975711423337,0,1415,585
16,0.17041613498085945,0.46719681908548727,0.2967806841046278,-0.037531265629443034,0.39287178368981307,0.4304030493192561,-0.20794740061030248,1,1400,600
17,0.11576911576911592,0.44244244244244246,0.32667332667332655,-0.03799343604378963,0.4259747519368323,0.46396818798062195,-0.15376255181290555,1,1431,569
18,0.16671823726681823,0.47144340602284524,0.304725168756027,-0.056700760805202255,0.44182408895502107,0.4985248497602233,-0.22341899807202048,1,1416,584
19,0.13570421851915193,0.44150559511698895,0.305801376597837,0.04786258860474857,0.45334887837448273,0.40548628976973417,-0.08784162991440336,0,1416,584
20,0.14197419741974232,0.4696969696969698,0.32772277227722746,0.025656730862802457,0.4082200184440778,0.38256328758127534,-0.11631746655693986,0,1413,587
21,0.11877172363781863,0.4517766497461929,0.3330049261083743,-0.0018476579862728437,0.43291287892062963,0.4347605369069025,-0.12061938162409147,1,1425,575
22,0.17966199347032868,0.47539370078740195,0.29573170731707327,0.0194231991688395,0.46261231849125095,0.44318911932241145,-0.16023879430148918,0,1408,592
23,0.1446928162238889,0.47507629704984783,0.3303834808259589,0.027632314472223585,0.4301555144447357,0.4025231999725121,-0.11706050175166532,0,1395,605
24,0.16147666675669242,0.47711088504577825,0.31563421828908583,-0.014964139434775536,0.4336220073094256,0.4485861467442011,-0.17644080619146796,1,1400,600
25,0.1254020578963368,0.4544534412955463,0.32905138339920953,0.017027460595628097,0.43808076268871227,0.42105330209308417,-0.1083745973007087,0,1408,592
26,0.1404259915449771,0.4599406528189915,0.3195146612740144,0.008407965637859893,0.41469993797127974,0.40629197233341985,-0.1320180259071172,0,1427,573
27,0.10089452881214889,0.4298418972332017,0.3289473684210528,-0.020140987154014744,0.430362414081897,0.45050340123591176,-0.12103551596616363,1,1415,585
28,0.12561462046561134,0.4694280078895465,0.34381338742393514,-0.0377031540695299,0.43846005133271043,0.47616320540224033,-0.16331777453514124,1,1423,577
29,0.18881216119018968,0.4841997961264018,0.2953876349362121,-0.020149639176343048,0.4275339299575052,0.44768356913384827,-0.20896180036653272,1,1389,611
30,0.11128405603415525,0.42464358452138506,0.3133595284872298,-0.011600797051783185,0.44048827971451393,0.4520890767662971,-0.12288485308593844,1,1403,597
31,0.1733828781702087,0.48470363288718976,0.31132075471698106,0.0336915224312051,0.4321365094706291,0.398444987039424,-0.1396913557390036,0,1428,572
32,0.14433340949448997,0.4598470363288718,0.31551362683438183,0.0024902748797946406,0.4568585103243203,0.45436823544452565,-0.14184313461469533,0,1387,613
33,0.13120312031203085,0.45544554455445496,0.3242424242424241,-0.020111964745286592,0.41270070158871264,0.43281266633399923,-0.15131508505731744,1,1434,566
34,0.16987409361305456,0.47099311701081664,0.3011190233977621,0.03122312005526212,0.42107325452606914,0.389850134470807,-0.13865097355779243,0,1426,574
35,0.12950142591208819,0.46185147507629676,0.33235004916420857,0.05113966169637135,0.43356626991988456,0.3824266082235132,-0.07836176421571683,0,1402,598
36,0.11570289257231459,0.4281407035175883,0.31243781094527373,0.026956484691886384,0.4089145218907633,0.38195803719887694,-0.0887464078804282,0,1430,570
37,0.13645976266039678,0.4727085478887739,0.33624878522837715,-0.022552095000874073,0.41850757772748964,0.4410596727283637,-0.15901185766127085,1,1406,594
38,0.15899611728772428,0.48416751787538354,0.32517140058765925,-0.03775219449460804,0.4328293433098473,0.47058153780445533,-0.19674831178233232,1,1421,579
39,0.09799999999999986,0.4439999999999995,0.34599999999999964,0.052544066304201775,0.45227134151398213,0.39972727520978035,-0.04545593369579809,0,1459,541
40,0.1593324339919056,0.4684052156469408,0.3090727816550352,0.02342688495494394,0.44530264989638924,0.4218757649414453,-0.13590554903696167,0,1405,595
41,0.13732161591552583,0.4469160768452987,0.3095944609297729,-0.016794258124359585,0.42967437392151736,0.44646863204587695,-0.15411587403988541,1,1364,636
42,0.12322861123120593,0.4503891050583665,0.32716049382716056,-0.014565858098483209,0.4217895291012213,0.4363553871997045,-0.13779446932968914,1,1376,624
43,0.17112927823195573,0.4726368159203981,0.30150753768844235,0.019155025418694238,0.4485446939432262,0.429389668524532,-0.1519742528132615,0,1402,598
44,0.13646365076570977,0.46255060728744907,0.3260869565217393,0.040040078930282885,0.4424604026654037,0.4024203237351208,-0.09642357183542688,0,1398,602
45,0.15200280568150498,0.46492146596858624,0.31291866028708126,0.023401919228714707,0.46859441300034604,0.44519249377163134,-0.12860088645279028,0,1386,614
46,0.13661959568525422,0.45015416238437794,0.3135345666991237,-0.015447698731096415,0.4141370670736407,0.4295847658047371,-0.15206729441635064,1,1408,592
47,0.1405050581820948,0.44567404426559387,0.30516898608349907,0.015556771453957341,0.4507198401127175,0.43516306865876014,-0.12494828672813746,0,1426,574
48,0.1678577679977994,0.4791878172588831,0.3113300492610837,-0.03062423141615278,0.4277195235642793,0.45834375498043206,-0.19848199941395217,1,1407,593
49,0.1352328543523858,0.48173741362290246,0.34650455927051665,-0.016152867720716224,0.4378552988789421,0.4540081665996583,-0.15138572207310202,1,1443,557
50,0.14313720587132084,0.4669950738916255,0.32385786802030464,0.011412130767559758,0.40292571641261643,0.39151358564505667,-0.13172507510376108,0,1411,589
51,0.12827751430793066,0.46640701071080803,0.33812949640287737,0.020912010733431574,0.4353588753958581,0.41444686466242653,-0.10736550357449909,0,1386,614
52,0.13343817117979606,0.47298674821610626,0.3395485770363102,-0.021124086624140892,0.43969618910763386,0.46082027573177475,-0.15456225780393695,1,1393,607
53,0.15911891312348975,0.45951417004048584,0.3003952569169961,-0.0247990709766292,0.42889750042027486,0.45369657139690406,-0.18391798410011895,1,1459,541
54,0.14250869126387727,0.4391891891891889,0.29668049792531165,0.022480343717681706,0.4404593519337335,0.4179790082160518,-0.12002834754619557,0,1415,585
55,0.06995721763589724,0.4160732451678539,0.34611602753195664,-0.02982775145684491,0.4233339291836823,0.4531616806405272,-0.09978496909274215,1,1412,588
56,0.1270308123249302,0.4627450980392161,0.3357142857142859,0.030030046866661997,0.458639797852374,0.428609750985712,-0.09700076545826819,0,1408,592
57,0.14890766828171192,0.4770173646578141,0.32810969637610216,-0.06347370051288531,0.42659834597350393,0.49007204648638925,-0.21238136879459724,1,1429,571
58,0.11726168848263147,0.44994840041279643,0.33268671193016497,0.07984737355018462,0.46855837449416676,0.38871100094398214,-0.037414314932446846,0,1396,604
59,0.1354421599156791,0.44582043343653216,0.31037827352085307,0.003599713622536027,0.44295954008384997,0.43935982646131394,-0.13184244629314307,0,1405,595
60,0.1671492245035262,0.4534161490683229,0.2862669245647967,-0.031073412651361765,0.44702949030093847,0.47810290295230023,-0.19822263715488797,1,1406,594
61,0.177,0.49299999999999966,0.31599999999999967,-0.008224727812920274,0.4645140265764832,0.4727387543894035,-0.18522472781292026,1,1359,641
62,0.13609443777510954,0.4704081632653063,0.3343137254901968,0.039031911107579365,0.4340558043372996,0.39502389322972026,-0.09706252666753018,0,1402,598
63,0.14163127468147202,0.46560319042871373,0.3239719157472417,0.01828501075049549,0.43416552095761535,0.41588051020711986,-0.12334626393097653,0,1423,577
64,0.156449930441584,0.4668644906033633,0.3104145601617793,0.011617599677216428,0.43524675263808393,0.4236291529608675,-0.14483233076436758,0,1378,622
65,0.17529324222688136,0.4920948616600797,0.31680161943319834,0.0008171903564289096,0.4331842849550665,0.4323670945986376,-0.17447605187045245,0,1380,620
66,0.15418246691947035,0.4748995983935742,0.32071713147410386,0.03635718820687883,0.4516932115665168,0.415336023359638,-0.11782527871259152,0,1407,593
67,0.14909838557416932,0.46184738955823323,0.3127490039840639,-0.033569831503393655,0.41487110237594593,0.4484409338793396,-0.18266821707756298,1,1406,594
68,0.1490776200846035,0.47342995169082114,0.3243523316062176,0.040086283389899,0.44408701933081157,0.40400073594091257,-0.10899133669470451,0,1442,558
69,0.15400000000000014,0.46599999999999964,0.3119999999999995,0.04393625737444634,0.4816158905356883,0.437679633161242,-0.1100637426255538,0,1416,584
70,0.1430286153255227,0.47865853658536583,0.33562992125984314,-0.003738546023073386,0.43835473451907075,0.44209328054214414,-0.14676716134859608,1,1402,598
71,0.17499999999999993,0.48899999999999955,0.3139999999999996,0.03331486784297555,0.42852920594126015,0.3952143380982846,-0.14168513215702438,0,1384,616
72,0.16201459223347547,0.4578313253012049,0.29581673306772943,0.023267973450094903,0.4251252928803878,0.4018573194302929,-0.13874661878338057,0,1409,591
73,0.1312555276753949,0.44618395303326813,0.31492842535787324,0.015469881255343376,0.40917353510103516,0.3937036538456918,-0.11578564642005151,0,1371,629
74,0.13602545153936768,0.44607329842931975,0.3100478468899521,0.0024053511905661185,0.41082414458200966,0.40841879339144355,-0.13362010034880156,0,1421,579
75,0.14438716700819676,0.4599609375,0.31557377049180324,0.024889085131702737,0.45349423265165717,0.42860514751995443,-0.11949808187649402,0,1423,577
76,0.12650250601002339,0.43887775551102154,0.31237524950099815,-0.00770977676863005,0.418974513461385,0.42668429023001503,-0.13421228277865344,1,1395,605
77,0.14833337500937704,0.46305418719211827,0.3147208121827412,0.002194948287656928,0.4153194638630905,0.41312451557543356,-0.14613842672172012,0,1369,631
78,0.11951746161285487,0.4469160768452984,0.3273986152324435,0.04148563699389479,0.4346808986218648,0.39319526162797,-0.07803182461896008,0,1405,595
79,0.11247644990579964,0.43712574850299407,0.32464929859719444,-0.015409230764901305,0.43422666386798847,0.4496358946328898,-0.12788568067070094,1,1373,627
80,0.13823114756724775,0.4751037344398345,0.33687258687258675,0.04301913539260738,0.4609326909112587,0.41791355551865134,-0.09521201217464037,0,1426,574
81,0.1289999999999999,0.43999999999999956,0.31099999999999967,0.005115890017044045,0.42654508202857544,0.4214291920115314,-0.12388410998295585,0,1426,574
82,0.14191207148581547,0.4820880245649947,0.34017595307917925,0.00562372698123631,0.4552325982320591,0.4496088712508228,-0.13628834450457916,0,1402,598
83,0.1700970097009698,0.48019801980197985,0.31010101010101004,-0.05744145426803199,0.41453335183308415,0.47197480610111614,-0.2275384639690018,1,1436,564
84,0.13393528668128207,0.4446640316205533,0.3107287449392712,-0.030616243771379947,0.409770306081461,0.4403865498528409,-0.16455153045266202,1,1456,544
85,0.14694904860654695,0.46687054026503577,0.3199214916584888,0.07898864895844371,0.47043340013572094,0.39144475117727723,-0.06796039964810324,0,1429,571
86,0.13972908889921382,0.4688796680497931,0.32915057915057927,0.008459517601529298,0.43210067322833356,0.42364115562680427,-0.13126957129768452,0,1388,612
87,0.12938639266748092,0.46509341199606685,0.33570701932858593,0.01720312384242423,0.4529497130090429,0.4357465891666187,-0.11218326882505669,0,1403,597
88,0.11962122545646525,0.45059288537549375,0.3309716599190285,-0.006348297023266836,0.4454976371720674,0.45184593419533425,-0.1259695224797321,1,1375,625
89,0.14429445962961568,0.4678536102868452,0.3235591506572295,0.004591572082680906,0.4414004492662092,0.4368088771835283,-0.13970288754693477,0,1394,606
90,0.14806928790983592,0.4713114754098359,0.3232421875,0.0516226289527727,0.4359190983555072,0.3842964694027345,-0.09644665895706322,0,1393,607
91,0.1244820338304477,0.4536082474226808,0.3291262135922331,-0.018910965382874068,0.42247016073131083,0.4413811261141849,-0.14339299921332177,1,1391,609
92,0.07269429077716283,0.4599198396793585,0.3872255489021957,-0.015432842804217917,0.42417130462931446,0.4396041474335324,-0.08812713358138075,1,1434,566
93,0.13839994228826974,0.44874476987447687,0.31034482758620713,0.025093024433376465,0.43685406592435205,0.4117610414909756,-0.11330691785489327,0,1416,584
94,0.11624618486265548,0.4542743538767398,0.33802816901408433,0.010901352790276042,0.44670985063051327,0.43580849784023723,-0.10534483207237944,0,1416,584
95,0.15959880309657282,0.4646660212971928,0.30506721820062,0.00022691690102133455,0.4383235864059951,0.4380966695049738,-0.15937188619555148,0,1426,574
96,0.15156680110108095,0.468495934959349,0.31692913385826804,0.032451731062049405,0.48484247056941016,0.45239073950736075,-0.11911507003903155,0,1384,616
97,0.1598342293906817,0.4652777777777781,0.3054435483870964,-0.050804335720875504,0.41224765271550634,0.46305198843638185,-0.2106385651115572,1,1395,605
98,0.15136731544516852,0.456016177957533,0.3046488625123645,-0.03427166150363847,0.42479674680609897,0.45906840830973744,-0.185638976948807,1,1408,592
99,0.18315888867550117,0.46161417322834697,0.2784552845528458,0.03875483054066503,0.437253895957597,0.398499065416932,-0.14440405813483614,0,1426,574
100,0.17007872125954,0.4698795180722893,0.2998007968127493,-0.05321568354193895,0.3910276539537861,0.44424333749572503,-0.22329440480147894,1,1395,605
101,0.17689075630252116,0.4857142857142862,0.30882352941176505,0.009378341590920936,0.4304004168876296,0.42102207529670865,-0.16751241471160022,0,1393,607
102,0.16078315277399968,0.46442687747035616,0.3036437246963565,0.01647436947662423,0.4484729978447487,0.43199862836812447,-0.14430878329737545,0,1390,610
103,0.12196304907622718,0.4646766169154232,0.34271356783919604,0.013640982804219492,0.4322169452415178,0.41857596243729833,-0.10832206627200769,0,1392,608
104,0.1408200499327833,0.4822834645669296,0.3414634146341463,0.025605784758352013,0.42941198582819357,0.40380620106984155,-0.11521426517443129,0,1399,601
105,0.18544433585927383,0.5155601659751042,0.3301158301158304,0.01782467383553754,0.4693952979629762,0.45157062412743865,-0.1676196620237363,0,1410,590
106,0.18723862349377113,0.4745596868884542,0.28732106339468305,0.019202445020328862,0.43879945962354944,0.4195970146032206,-0.16803617847344227,0,1410,590
107,0.12569924317209624,0.45903257650542956,0.3333333333333333,0.021306291370801644,0.46550678873266865,0.444200497361867,-0.1043929518012946,0,1390,610
108,0.14306758847466672,0.46417759838546946,0.32111000991080274,-0.017444492319368177,0.416400165842829,0.4338446581621972,-0.1605120807940349,1,1396,604
109,0.12586667947671049,0.45817120622568147,0.332304526748971,0.013535244654266365,0.4226492623846185,0.4091140177303521,-0.11233143482244412,0,1402,598
110,0.13844275157293995,0.4529828109201214,0.31454005934718143,0.017417650368537152,0.46212726868017895,0.4447096183116418,-0.1210251012044028,0,1386,614
111,0.16495900920802553,0.4899328859060402,0.3249738766980147,-0.01553968870571476,0.4331846277996857,0.44872431650540046,-0.1804986979137403,1,1391,609
112,0.13351087829732933,0.459353574926543,0.32584269662921367,-0.0283193144562513,0.41628901719713896,0.44460833165339025,-0.16183019275358063,1,1421,579
113,0.17679071628651444,0.4581632653061226,0.2813725490196082,-0.00011206050639200882,0.40960011476364877,0.4097121752700408,-0.17690277679290645,1,1426,574
114,0.14982127918472898,0.4629629629629632,0.3131416837782342,-0.0054952465560970665,0.45936853185422494,0.464863778410322,-0.15531652574082605,1,1452,548
